PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5200834,127011,2015-11-01T00:00:00Z,8.6820,131.1050,0,-6.8,-0.4,-0.07,0,29,0.5,313,15,-0.366,0.437,0011171111171111
5200834,127011,2015-11-01T03:00:00Z,8.7110,131.0790,0,-6,0.7,-0.06,0,29.04,0.5,313,15,-0.219,0.18,0011171111171111
5200834,127011,2015-11-01T06:00:00Z,8.7170,131.0620,0,-6.3,-0.3,-0.06,-0.01,29.05,0.5,313,15,-0.244,0.082,0011171111171111
5200834,127011,2015-11-01T09:00:00Z,8.7270,131.0310,0,-8.5,-1.5,-0.09,-0.01,29.02,0.5,313,15,-0.442,0.226,0011171111171111
5200834,127011,2015-11-01T12:00:00Z,8.7610,130.9750,0,-8.4,-1.5,-0.12,-0.02,28.99,0.5,313,15,-0.559,0.262,0011171111171111
5200834,127011,2015-11-01T15:00:00Z,8.7780,130.9210,0,-8.7,-0.4,-0.1,-0.01,28.96,0.5,313,15,-0.452,0.216,0011171111171111
5200834,127011,2015-11-01T18:00:00Z,8.8030,130.8860,0,-7.6,0.7,-0.1,0.01,28.94,0.5,313,15,-0.371,0.35,0011171111171111
5200834,127011,2015-11-01T21:00:00Z,8.8460,130.8480,0,-8.6,-0.1,-0.09,0.01,28.93,0.5,313,15,-0.269,0.509,0011171111171111
5200834,127011,2015-11-02T00:00:00Z,8.9020,130.8330,0,-8.1,-0.9,-0.07,0,28.96,0.5,313,15,-0.117,0.412,0011171111171111
5200834,127011,2015-11-02T03:00:00Z,8.9260,130.8250,0,-4.7,1.2,-0.05,0,28.98,0.5,313,15,-0.122,0.247,0011171111171111
5200834,127011,2015-11-02T06:00:00Z,8.9500,130.8090,0,-5.3,1.5,-0.04,0.01,28.94,0.5,313,15,-0.158,0.298,0011171111171111
5200834,127011,2015-11-02T09:00:00Z,8.9840,130.7940,0,-6.4,-0.4,-0.05,0,28.82,0.5,313,15,-0.147,0.252,0011171111171111
5200834,127011,2015-11-02T12:00:00Z,8.9990,130.7800,0,-3.2,-1.4,-0.05,0,28.75,0.5,313,15,-0.061,0.165,0011171111171111
5200834,127011,2015-11-02T15:00:00Z,9.0160,130.7820,0,-4.1,-1.6,-0.02,-0.01,28.79,0.5,313,15,-0.036,0.139,0011171111171111
5200834,127011,2015-11-02T18:00:00Z,9.0260,130.7730,0,-4.7,0.3,-0.04,-0.01,28.86,0.5,313,15,-0.112,0.098,0011171111171111
5200834,127011,2015-11-02T21:00:00Z,9.0350,130.7600,0,-5.4,-2,-0.05,-0.02,28.9,0.5,313,15,-0.056,0.015,0011171111171111
5200834,127011,2015-11-03T00:00:00Z,9.0290,130.7620,0,-5.2,-0.8,-0.04,-0.01,28.98,0.5,313,15,0,-0.046,0011171111171111
5200834,127011,2015-11-03T03:00:00Z,9.0260,130.7600,0,-3.7,-1.1,-0.02,-0.01,29.13,0.5,313,15,-0.163,-0.01,0011171111171111
5200834,127011,2015-11-03T06:00:00Z,9.0270,130.7300,0,-2.9,-2.4,-0.02,-0.01,29.22,0.5,313,15,-0.356,0,0011171111171111
5200834,127011,2015-11-03T09:00:00Z,9.0260,130.6900,0,-5.9,-2.5,-0.04,-0.02,29.14,0.5,313,15,-0.381,-0.098,0011171111171111
5200834,127011,2015-11-03T12:00:00Z,9.0080,130.6550,0,-6,-2,-0.06,-0.02,29.03,0.5,313,15,-0.376,-0.211,0011171111171111
5200834,127011,2015-11-03T15:00:00Z,8.9850,130.6160,0,-5.6,-3,-0.05,-0.03,28.97,0.5,313,15,-0.488,-0.123,0011171111171111
5200834,127011,2015-11-03T18:00:00Z,8.9840,130.5590,0,-4.7,,,,28.94,0.5,313,15,-0.559,0.041,0011171999171111
5200834,127011,2015-11-03T21:00:00Z,8.9930,130.5060,0,-6.6,,,,28.93,0.5,313,15,-0.432,0.062,0011171999171111
5200834,127011,2015-11-04T00:00:00Z,8.9960,130.4740,0,-6.3,,-0.06,,28.96,0.5,313,15,-0.386,0.098,0011171919171111
5200834,127011,2015-11-04T03:00:00Z,9.0120,130.4300,0,-6.5,,-0.06,,29.03,0.5,313,15,-0.483,0.19,0011171919171111
5200834,127011,2015-11-04T06:00:00Z,9.0330,130.3790,0,-6.4,,,,29.07,0.5,313,15,-0.472,0.221,0011171999171111
5200834,127011,2015-11-04T09:00:00Z,9.0550,130.3370,0,-7,,,,29.04,0.5,313,15,-0.457,0.268,0011171999171111
5200834,127011,2015-11-04T12:00:00Z,9.0850,130.2890,0,-7,,,,28.99,0.5,313,15,-0.477,0.257,0011171999171111
5200834,127011,2015-11-04T15:00:00Z,9.1050,130.2430,0,-6.5,,,,28.96,0.5,313,15,-0.472,0.211,0011171999171111
5200834,127011,2015-11-04T18:00:00Z,9.1260,130.1960,0,-5.6,,,,28.95,0.5,313,15,-0.406,0.211,0011171999171111
5200834,127011,2015-11-04T21:00:00Z,9.1460,130.1630,0,-8,,,,28.95,0.5,313,15,-0.31,0.195,0011171999171111
5200834,127011,2015-11-05T00:00:00Z,9.1640,130.1350,0,-7.5,-1,-0.07,-0.01,28.97,0.5,313,15,-0.32,0.334,0011171111171111
5200834,127011,2015-11-05T03:00:00Z,9.2110,130.1000,0,-5.8,-3,-0.06,-0.02,28.98,0.5,313,15,-0.325,0.458,0011171111171111
5200834,127011,2015-11-05T06:00:00Z,9.2530,130.0710,0,-6.3,-3.4,-0.07,-0.03,28.99,0.5,313,15,-0.244,0.396,0011171111171111
5200834,127011,2015-11-05T09:00:00Z,9.2880,130.0520,0,-7.2,-1.9,-0.08,-0.02,28.98,0.5,313,15,-0.157,0.262,0011171111171111
5200834,127011,2015-11-05T12:00:00Z,9.3040,130.0400,0,-6.9,0,-0.07,0,28.97,0.5,313,15,-0.178,0.17,0011171111171111
5200834,127011,2015-11-05T15:00:00Z,9.3210,130.0170,0,-6,-0.7,-0.05,-0.01,28.95,0.5,313,15,-0.234,0.149,0011171111171111
5200834,127011,2015-11-05T18:00:00Z,9.3330,129.9940,0,-5,-1.1,-0.03,-0.01,28.94,0.5,313,15,-0.117,-0.051,0011171111171111
5200834,127011,2015-11-05T21:00:00Z,9.3110,129.9940,0,-4.8,-1.9,-0.04,-0.02,28.94,0.5,313,15,-0.081,-0.123,0011171111171111
5200834,127011,2015-11-06T00:00:00Z,9.3090,129.9780,0,-5.4,-1.1,-0.04,-0.01,28.99,0.5,313,15,-0.198,0.082,0011171111171111
5200834,127011,2015-11-06T03:00:00Z,9.3270,129.9550,0,-5,-0.5,-0.03,0,29.1,0.5,313,15,-0.208,0.149,0011171111171111
5200834,127011,2015-11-06T06:00:00Z,9.3380,129.9370,0,-4.5,-0.3,-0.03,0,29.18,0.5,313,15,-0.183,0.01,0011171111171111
5200834,127011,2015-11-06T09:00:00Z,9.3290,129.9190,0,-4.4,0.1,-0.03,0,29.15,0.5,313,15,-0.249,-0.18,0011171111171111
5200834,127011,2015-11-06T12:00:00Z,9.3030,129.8880,0,-3.8,-1.2,-0.03,-0.01,29.07,0.5,313,15,-0.411,-0.18,0011171111171111
5200834,127011,2015-11-06T15:00:00Z,9.2940,129.8380,0,-4.1,-2.9,-0.03,-0.02,29.01,0.5,313,15,-0.482,-0.041,0011171111171111
5200834,127011,2015-11-06T18:00:00Z,9.2950,129.7930,0,-3.1,-2.5,-0.03,-0.02,28.98,0.5,313,15,-0.421,-0.098,0011171111171111
5200834,127011,2015-11-06T21:00:00Z,9.2750,129.7550,0,-5.3,-3.3,-0.05,-0.02,28.96,0.5,313,15,-0.513,-0.072,0011171111171111
5200834,127011,2015-11-07T00:00:00Z,9.2810,129.6920,0,-6.5,-2.4,-0.05,-0.02,28.96,0.5,313,15,-0.624,0.108,0011171111171111
5200834,127011,2015-11-07T03:00:00Z,9.2960,129.6320,0,-5.3,-1.5,-0.04,-0.01,29,0.5,313,15,-0.558,0.195,0011171111171111
5200834,127011,2015-11-07T06:00:00Z,9.3190,129.5820,0,-5.1,-0.8,-0.04,-0.01,29.03,0.5,313,15,-0.513,0.165,0011171111171111
5200834,127011,2015-11-07T09:00:00Z,9.3280,129.5310,0,-5.4,-0.5,-0.05,-0.01,29.02,0.5,313,15,-0.624,0.103,0011171111171111
5200834,127011,2015-11-07T12:00:00Z,9.3390,129.4590,0,-5.8,-1.5,-0.04,-0.01,29,0.5,313,15,-0.589,0.123,0011171111171111
5200834,127011,2015-11-07T15:00:00Z,9.3520,129.4150,0,-5.2,-2.1,-0.04,-0.01,28.98,0.5,313,15,-0.371,0.139,0011171111171111
5200834,127011,2015-11-07T18:00:00Z,9.3660,129.3860,0,-5.8,-0.7,-0.04,-0.01,28.97,0.5,313,15,-0.411,0.149,0011171111171111
5200834,127011,2015-11-07T21:00:00Z,9.3810,129.3340,0,-4.5,-2,-0.04,-0.02,28.97,0.5,313,15,-0.447,0.231,0011171111171111
5200834,127011,2015-11-08T00:00:00Z,9.4110,129.2980,0,-5.8,-0.7,-0.04,-0.02,29.01,0.5,313,15,-0.391,0.262,0011171111171111
5200834,127011,2015-11-08T03:00:00Z,9.4320,129.2570,0,-5.3,-2.3,-0.04,-0.02,29.1,0.5,313,15,-0.401,0.226,0011171111171111
5200834,127011,2015-11-08T06:00:00Z,9.4550,129.2190,0,-5.2,-2.1,-0.03,-0.01,29.15,0.5,313,15,-0.37,0.221,0011171111171111
5200834,127011,2015-11-08T09:00:00Z,9.4750,129.1840,0,-5,-1.6,-0.03,-0.01,29.12,0.5,313,15,-0.325,0.201,0011171111171111
5200834,127011,2015-11-08T12:00:00Z,9.4940,129.1550,0,-5.3,-2.7,-0.04,-0.01,29.06,0.5,313,15,-0.37,0.139,0011171111171111
5200834,127011,2015-11-08T15:00:00Z,9.5020,129.1110,0,-5.6,-1.8,-0.04,-0.01,29.03,0.5,313,15,-0.396,0.108,0011171111171111
5200834,127011,2015-11-08T18:00:00Z,9.5150,129.0770,0,-5.7,-1,-0.03,-0.01,29.01,0.5,313,15,-0.309,0.108,0011171111171111
5200834,127011,2015-11-08T21:00:00Z,9.5230,129.0500,0,-4,-0.9,-0.02,0,29,0.5,313,15,-0.198,0.057,0011171111171111
5200834,127011,2015-11-09T00:00:00Z,9.5260,129.0380,0,-5,0.8,-0.03,0,29.07,0.5,313,15,-0.132,-0.118,0011171111171111
5200834,127011,2015-11-09T03:00:00Z,9.5000,129.0240,0,-4.5,-1.5,-0.03,0,29.18,0.5,313,15,-0.279,-0.226,0011171111171111
5200834,127011,2015-11-09T06:00:00Z,9.4820,128.9830,0,-4,-1.6,-0.02,-0.01,29.23,0.5,313,15,-0.416,-0.129,0011171111171111
5200834,127011,2015-11-09T09:00:00Z,9.4750,128.9420,0,-4.5,-3.1,-0.03,-0.02,29.18,0.5,313,15,-0.411,0.005,0011171111171111
5200834,127011,2015-11-09T12:00:00Z,9.4830,128.9020,0,-4.2,-2,-0.04,-0.02,29.1,0.5,313,15,-0.406,0.021,0011171111171111
5200834,127011,2015-11-09T15:00:00Z,9.4790,128.8620,0,-3.5,-1.1,-0.02,-0.01,29.06,0.5,313,15,-0.472,-0.093,0011171111171111
5200834,127011,2015-11-09T18:00:00Z,9.4650,128.8090,0,-4.5,-1.8,-0.03,-0.01,29.04,0.5,313,15,-0.563,-0.077,0011171111171111
5200834,127011,2015-11-09T21:00:00Z,9.4640,128.7510,0,-4.7,-1.8,-0.04,-0.02,29.03,0.5,313,15,-0.523,-0.015,0011171111171111
5200834,127011,2015-11-10T00:00:00Z,9.4620,128.7060,0,-5.6,-1.8,-0.05,-0.02,29.08,0.5,313,15,-0.472,-0.021,0011171111171111
5200834,127011,2015-11-10T03:00:00Z,9.4600,128.6580,0,-5.6,-1.8,-0.04,-0.01,29.19,0.5,313,15,-0.492,-0.031,0011171111171111
5200834,127011,2015-11-10T06:00:00Z,9.4560,128.6090,0,-5.1,-1.7,-0.04,-0.01,29.28,0.5,313,15,-0.497,-0.046,0011171111171111
5200834,127011,2015-11-10T09:00:00Z,9.4510,128.5600,0,-5.8,-2,-0.04,-0.02,29.27,0.5,313,15,-0.502,0.01,0011171111171111
5200834,127011,2015-11-10T12:00:00Z,9.4580,128.5100,0,-5.8,-1.9,-0.04,-0.02,29.21,0.5,313,15,-0.431,0.046,0011171111171111
5200834,127011,2015-11-10T15:00:00Z,9.4600,128.4750,0,-6,-2.1,-0.05,-0.02,29.15,0.5,313,15,-0.37,-0.021,0011171111171111
5200834,127011,2015-11-10T18:00:00Z,9.4540,128.4370,0,-6.1,,,,29.11,0.5,313,15,-0.355,-0.067,0011171999171111
5200834,127011,2015-11-10T21:00:00Z,9.4470,128.4050,0,-6.8,,,,29.1,0.5,313,15,-0.426,-0.123,0011171999171111
5200834,127011,2015-11-11T00:00:00Z,9.4300,128.3530,0,-6.6,-2.2,-0.07,-0.03,29.13,0.5,313,15,-0.553,-0.139,0011171111171111
5200834,127011,2015-11-11T03:00:00Z,9.4200,128.2960,0,-6.8,-2.8,-0.06,-0.03,29.2,0.5,313,15,-0.492,-0.051,0011171111171111
5200834,127011,2015-11-11T06:00:00Z,9.4200,128.2560,0,-5.8,-2.1,-0.05,-0.03,29.25,0.5,313,15,-0.365,-0.015,0011171111171111
5200834,127011,2015-11-11T09:00:00Z,9.4170,128.2240,0,-5.7,-4,-0.06,-0.04,29.24,0.5,313,15,-0.37,-0.051,0011171111171111
5200834,127011,2015-11-11T12:00:00Z,9.4100,128.1830,0,-6.1,-3,-0.07,-0.05,29.2,0.5,313,15,-0.457,-0.067,0011171111171111
5200834,127011,2015-11-11T15:00:00Z,9.4040,128.1340,0,-6,-3,-0.06,-0.03,29.16,0.5,313,15,-0.416,-0.082,0011171111171111
5200834,127011,2015-11-11T18:00:00Z,9.3940,128.1010,0,-4.7,-2.8,-0.06,-0.03,29.13,0.5,313,15,-0.355,-0.087,0011171111171111
5200834,127011,2015-11-11T21:00:00Z,9.3870,128.0640,0,-7.1,-3.9,-0.08,-0.04,29.12,0.5,313,15,-0.447,-0.093,0011171111171111
5200834,127011,2015-11-12T00:00:00Z,9.3760,128.0130,0,-7,-1.9,-0.08,-0.03,29.15,0.5,313,15,-0.457,-0.129,0011171111171111
5200834,127011,2015-11-12T03:00:00Z,9.3620,127.9740,0,-6.5,-1.8,-0.06,-0.02,29.22,0.5,313,15,-0.371,-0.129,0011171111171111
5200834,127011,2015-11-12T06:00:00Z,9.3510,127.9400,0,-5.9,-2,-0.05,-0.02,29.27,0.5,313,15,-0.33,-0.067,0011171111171111
5200834,127011,2015-11-12T09:00:00Z,9.3490,127.9090,0,-5.9,-2.4,-0.05,-0.02,29.24,0.5,313,15,-0.274,-0.046,0011171111171111
5200834,127011,2015-11-12T12:00:00Z,9.3420,127.8860,0,-5.8,-3.2,-0.06,-0.03,29.18,0.5,313,15,-0.178,-0.134,0011171111171111
5200834,127011,2015-11-12T15:00:00Z,9.3230,127.8740,0,-6.5,-4.1,-0.06,-0.04,29.14,0.5,313,15,-0.239,-0.268,0011171111171111
5200834,127011,2015-11-12T18:00:00Z,9.2900,127.8390,0,-5.2,-3.8,-0.06,-0.05,29.12,0.5,313,15,-0.442,-0.314,0011171111171111
5200834,127011,2015-11-12T21:00:00Z,9.2620,127.7870,0,-5.9,-4.5,-0.06,-0.05,29.11,0.5,313,15,-0.442,-0.262,0011171111171111
5200834,127011,2015-11-13T00:00:00Z,9.2390,127.7520,0,-5.7,-3.3,-0.06,-0.04,29.14,0.5,313,15,-0.244,-0.237,0011171111171111
