PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),DEPH LEVEL2 (meter),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),TEMP LEVEL7 (degree_Celsius),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),TEMP LEVEL9 (degree_Celsius),DEPH LEVEL9 (meter),QC
41580,2009-01-03T00:11:00Z,24.3940,123.9890,,0,,,,,,,,,,,,,,,,,,,011197999999999999999999
41580,2009-01-03T00:26:00Z,24.3940,123.9890,24,0,,,,,,,,,,,,,,,,,,,011117999999999999999999
41580,2009-01-03T00:41:00Z,24.3940,123.9890,,,15.8,15,23.9,30,23.9,36,24,45,24.1,58,24.1,59,24,69,12.2,82,,,011199211111111111112199
41580,2009-01-03T00:42:00Z,24.3960,123.9880,,0,,,,,,,,,,,,,,,,,,,014497999999999999999999
41580,2009-01-03T00:56:00Z,24.3940,123.9890,,,15.8,15,23.9,30,24,36,24,45,24.1,58,24.1,59,24,69,12.3,82,,,011199211111111111112199
41580,2009-01-03T00:57:00Z,24.3960,123.9880,,0,,,,,,,,,,,,,,,,,,,014497999999999999999999
41580,2009-01-03T01:11:00Z,24.3940,123.9890,24.1,,24.1,0,15.8,15,23.9,30,24,36,24,45,24.1,58,24.1,59,24,69,12.5,82,011119112111111111111121
41580,2009-01-03T01:12:00Z,24.3910,123.9890,,0,,,,,,,,,,,,,,,,,,,014497999999999999999999
41580,2009-01-03T01:25:00Z,24.3910,123.9890,,,16,15,23.9,30,24,36,24,45,24.1,58,24.1,59,24,69,12.3,82,,,011199211111111111112199
41580,2009-01-03T01:26:00Z,24.3910,123.9890,24,0,,,,,,,,,,,,,,,,,,,011117999999999999999999
41580,2009-01-03T01:27:00Z,24.3910,123.9890,24,0,,,,,,,,,,,,,,,,,,,011117999999999999999999
41580,2009-01-03T01:40:00Z,24.3910,123.9890,,,16,15,23.9,30,24,36,24,45,24.1,58,24.1,59,24,69,12.2,82,,,011199211111111111112199
41580,2009-01-03T01:55:00Z,24.3910,123.9890,24.1,,24.1,0,15.9,15,23.9,30,24,36,24,45,24.1,58,24.1,59,24,69,12.3,82,011119112111111111111121
41580,2009-01-03T03:42:00Z,24.3910,123.9890,,0,,,,,,,,,,,,,,,,,,,011197999999999999999999
41580,2009-01-03T03:57:00Z,24.3910,123.9890,,0,,,,,,,,,,,,,,,,,,,011197999999999999999999
41580,2009-01-03T04:12:00Z,24.3910,123.9890,,0,,,,,,,,,,,,,,,,,,,011197999999999999999999
41580,2009-01-03T04:25:00Z,24.3910,123.9890,,,16.3,15,23.9,30,24,36,24.1,45,24.1,58,24.1,59,24.1,69,12.9,82,,,011199211111111111112199
41580,2009-01-03T04:27:00Z,24.3910,123.9890,24.1,0,,,,,,,,,,,,,,,,,,,011117999999999999999999
41580,2009-01-03T04:40:00Z,24.3910,123.9890,,,16.1,15,23.9,30,24,36,24.1,45,24.1,58,24.1,59,24.1,69,13,82,,,011199211111111111112199
